Opened,Open,High,Low,Close,Volume
2019-01-02 23:00:00,153.67000000,154.30000000,153.64000000,153.95000000,1058.12313000
2019-01-02 23:01:00,153.95000000,154.28000000,153.84000000,154.13000000,1073.04748000
2019-01-02 23:02:00,154.06000000,155.37000000,154.06000000,154.85000000,3944.16648000
2019-01-02 23:03:00,154.87000000,154.98000000,154.08000000,154.95000000,2046.04380000
2019-01-02 23:04:00,154.87000000,154.87000000,154.45000000,154.72000000,942.90373000
2019-01-02 23:05:00,154.75000000,154.77000000,153.90000000,154.49000000,1302.64703000
2019-01-02 23:06:00,154.39000000,154.58000000,154.04000000,154.11000000,963.02824000
2019-01-02 23:07:00,154.10000000,154.87000000,153.77000000,154.70000000,1616.22692000
2019-01-02 23:08:00,154.81000000,154.95000000,153.96000000,154.34000000,2425.86191000
2019-01-02 23:09:00,154.32000000,154.50000000,154.05000000,154.23000000,999.93076000
2019-01-02 23:10:00,154.19000000,154.21000000,153.52000000,154.21000000,1299.54570000
2019-01-02 23:11:00,154.20000000,154.22000000,153.76000000,154.03000000,1611.01819000
2019-01-02 23:12:00,154.09000000,154.23000000,153.93000000,154.14000000,683.95800000
2019-01-02 23:13:00,154.10000000,154.20000000,153.79000000,154.00000000,715.27566000
2019-01-02 23:14:00,154.04000000,154.08000000,153.88000000,153.89000000,304.34182000
2019-01-02 23:15:00,153.88000000,153.95000000,153.60000000,153.79000000,701.93949000
2019-01-02 23:16:00,153.81000000,153.90000000,153.32000000,153.62000000,923.62725000
2019-01-02 23:17:00,153.64000000,153.65000000,153.00000000,153.05000000,1573.56629000
2019-01-02 23:18:00,153.06000000,153.11000000,152.70000000,152.83000000,2151.69931000
2019-01-02 23:19:00,152.82000000,153.52000000,152.80000000,153.33000000,797.74087000
2019-01-02 23:20:00,153.33000000,153.39000000,152.91000000,153.00000000,855.19196000
2019-01-02 23:21:00,152.99000000,153.11000000,152.83000000,152.99000000,902.24084000
2019-01-02 23:22:00,153.00000000,153.15000000,152.99000000,153.12000000,535.43545000
2019-01-02 23:23:00,153.14000000,153.65000000,153.14000000,153.65000000,386.49975000
2019-01-02 23:24:00,153.57000000,153.90000000,153.40000000,153.89000000,398.20478000
2019-01-02 23:25:00,153.88000000,153.99000000,153.50000000,153.50000000,976.46317000
2019-01-02 23:26:00,153.46000000,153.74000000,153.43000000,153.65000000,255.26242000
2019-01-02 23:27:00,153.66000000,153.74000000,153.65000000,153.67000000,252.69937000
2019-01-02 23:28:00,153.68000000,153.74000000,153.59000000,153.64000000,376.06330000
2019-01-02 23:29:00,153.59000000,153.77000000,153.59000000,153.75000000,441.70015000
2019-01-02 23:30:00,153.73000000,153.78000000,153.72000000,153.76000000,234.84190000
2019-01-02 23:31:00,153.77000000,153.80000000,153.61000000,153.70000000,383.34170000
2019-01-02 23:32:00,153.65000000,153.70000000,153.50000000,153.57000000,509.50760000
2019-01-02 23:33:00,153.59000000,153.80000000,153.52000000,153.80000000,536.46631000
2019-01-02 23:34:00,153.80000000,153.80000000,153.72000000,153.80000000,540.47634000
2019-01-02 23:35:00,153.80000000,154.26000000,153.80000000,153.97000000,1563.56292000
2019-01-02 23:36:00,153.99000000,154.07000000,153.90000000,154.00000000,461.94266000
2019-01-02 23:37:00,154.00000000,154.10000000,153.82000000,153.93000000,461.97970000
2019-01-02 23:38:00,153.91000000,153.97000000,153.85000000,153.86000000,174.31730000
2019-01-02 23:39:00,153.86000000,153.90000000,153.68000000,153.76000000,888.79586000
2019-01-02 23:40:00,153.75000000,153.83000000,153.59000000,153.59000000,380.33375000
2019-01-02 23:41:00,153.60000000,153.62000000,153.21000000,153.35000000,573.63348000
2019-01-02 23:42:00,153.35000000,153.35000000,153.00000000,153.06000000,728.25088000
2019-01-02 23:43:00,153.06000000,153.11000000,152.92000000,153.03000000,1126.85395000
2019-01-02 23:44:00,153.01000000,153.18000000,152.84000000,153.13000000,753.02929000
2019-01-02 23:45:00,153.13000000,153.16000000,153.04000000,153.11000000,217.58537000
2019-01-02 23:46:00,153.12000000,153.15000000,153.11000000,153.14000000,120.94536000
2019-01-02 23:47:00,153.15000000,153.19000000,153.11000000,153.17000000,236.78552000
2019-01-02 23:48:00,153.15000000,153.29000000,153.14000000,153.20000000,199.35735000
2019-01-02 23:49:00,153.18000000,153.25000000,153.15000000,153.21000000,291.98858000
2019-01-02 23:50:00,153.22000000,153.29000000,153.14000000,153.14000000,237.56606000
2019-01-02 23:51:00,153.14000000,153.18000000,153.10000000,153.10000000,189.08389000
2019-01-02 23:52:00,153.10000000,153.10000000,152.85000000,152.87000000,268.20241000
2019-01-02 23:53:00,152.87000000,152.88000000,152.68000000,152.75000000,393.73663000
2019-01-02 23:54:00,152.74000000,152.75000000,152.02000000,152.13000000,781.84782000
2019-01-02 23:55:00,152.12000000,152.16000000,151.19000000,151.77000000,2523.15287000
2019-01-02 23:56:00,151.64000000,151.99000000,151.50000000,151.63000000,723.43229000
2019-01-02 23:57:00,151.58000000,152.00000000,151.36000000,151.96000000,674.87961000
2019-01-02 23:58:00,152.00000000,152.21000000,151.85000000,152.16000000,487.60540000
2019-01-02 23:59:00,152.16000000,152.21000000,152.00000000,152.01000000,898.58398000
2019-01-03 00:00:00,152.01000000,152.01000000,151.90000000,151.94000000,569.32060000
2019-01-03 00:01:00,151.92000000,152.38000000,151.90000000,152.26000000,1797.79928000
2019-01-03 00:02:00,152.27000000,152.40000000,152.21000000,152.25000000,337.64740000
2019-01-03 00:03:00,152.25000000,152.43000000,152.20000000,152.38000000,501.24971000
2019-01-03 00:04:00,152.39000000,152.65000000,152.10000000,152.61000000,1250.97518000
2019-01-03 00:05:00,152.61000000,152.70000000,152.51000000,152.57000000,469.85888000
2019-01-03 00:06:00,152.55000000,152.61000000,152.50000000,152.52000000,220.94143000
2019-01-03 00:07:00,152.53000000,152.70000000,152.51000000,152.64000000,415.96102000
2019-01-03 00:08:00,152.64000000,152.80000000,152.64000000,152.73000000,348.44152000
2019-01-03 00:09:00,152.71000000,152.73000000,152.55000000,152.63000000,531.70061000
2019-01-03 00:10:00,152.58000000,152.69000000,152.45000000,152.47000000,333.09584000
2019-01-03 00:11:00,152.46000000,152.50000000,152.12000000,152.20000000,600.62063000
2019-01-03 00:12:00,152.15000000,152.25000000,152.12000000,152.17000000,432.96099000
2019-01-03 00:13:00,152.18000000,152.38000000,152.15000000,152.27000000,545.28144000
2019-01-03 00:14:00,152.28000000,152.29000000,152.19000000,152.21000000,237.18144000
2019-01-03 00:15:00,152.21000000,152.34000000,152.21000000,152.25000000,373.71208000
2019-01-03 00:16:00,152.23000000,152.34000000,152.22000000,152.28000000,282.32188000
2019-01-03 00:17:00,152.28000000,152.30000000,152.22000000,152.23000000,154.38274000
2019-01-03 00:18:00,152.23000000,152.33000000,152.14000000,152.24000000,565.84496000
2019-01-03 00:19:00,152.24000000,152.26000000,152.11000000,152.21000000,245.33411000
2019-01-03 00:20:00,152.25000000,152.31000000,152.11000000,152.17000000,238.36307000
2019-01-03 00:21:00,152.19000000,152.19000000,152.03000000,152.05000000,187.29231000
2019-01-03 00:22:00,152.05000000,152.10000000,151.70000000,151.95000000,877.83483000
2019-01-03 00:23:00,151.91000000,151.96000000,151.75000000,151.75000000,406.14898000
2019-01-03 00:24:00,151.80000000,151.81000000,151.33000000,151.38000000,522.05625000
2019-01-03 00:25:00,151.38000000,151.43000000,150.91000000,150.92000000,981.11868000
2019-01-03 00:26:00,150.92000000,150.98000000,149.41000000,150.86000000,5812.19971000
2019-01-03 00:27:00,150.86000000,150.90000000,150.21000000,150.33000000,1200.17161000
2019-01-03 00:28:00,150.33000000,150.71000000,150.27000000,150.61000000,558.19512000
2019-01-03 00:29:00,150.62000000,150.67000000,149.64000000,150.01000000,1055.22681000
2019-01-03 00:30:00,150.04000000,150.82000000,149.97000000,150.77000000,780.20837000
2019-01-03 00:31:00,150.85000000,150.90000000,150.25000000,150.39000000,1236.89432000
2019-01-03 00:32:00,150.32000000,150.62000000,150.26000000,150.43000000,532.83038000
2019-01-03 00:33:00,150.42000000,150.58000000,150.39000000,150.52000000,278.29008000
2019-01-03 00:34:00,150.54000000,150.85000000,150.47000000,150.84000000,324.60620000
2019-01-03 00:35:00,150.85000000,151.15000000,150.85000000,151.09000000,383.47696000
2019-01-03 00:36:00,151.09000000,152.00000000,150.74000000,151.21000000,1615.11813000
2019-01-03 00:37:00,151.15000000,151.68000000,151.15000000,151.29000000,490.14916000
2019-01-03 00:38:00,151.30000000,151.67000000,151.25000000,151.27000000,602.58556000
2019-01-03 00:39:00,151.28000000,151.28000000,150.93000000,151.00000000,413.53363000
2019-01-03 00:40:00,150.99000000,151.10000000,150.97000000,151.08000000,239.19269000
2019-01-03 00:41:00,151.06000000,151.52000000,151.00000000,151.30000000,655.72477000
2019-01-03 00:42:00,151.29000000,151.30000000,151.14000000,151.24000000,521.28839000
2019-01-03 00:43:00,151.24000000,151.30000000,151.05000000,151.13000000,899.92332000
2019-01-03 00:44:00,151.13000000,151.25000000,151.09000000,151.17000000,340.69286000
2019-01-03 00:45:00,151.17000000,151.25000000,151.17000000,151.22000000,209.30326000
2019-01-03 00:46:00,151.22000000,151.27000000,151.20000000,151.25000000,282.43255000
2019-01-03 00:47:00,151.25000000,151.27000000,151.20000000,151.20000000,207.15350000
2019-01-03 00:48:00,151.21000000,151.23000000,150.90000000,150.90000000,756.90058000
2019-01-03 00:49:00,150.84000000,150.95000000,150.66000000,150.95000000,441.48774000
2019-01-03 00:50:00,150.95000000,151.14000000,150.92000000,151.03000000,341.38772000
2019-01-03 00:51:00,151.04000000,151.15000000,150.92000000,151.08000000,292.15422000
2019-01-03 00:52:00,151.08000000,151.09000000,150.65000000,150.80000000,348.15392000
2019-01-03 00:53:00,150.81000000,150.82000000,150.60000000,150.72000000,424.09454000
2019-01-03 00:54:00,150.72000000,150.75000000,150.62000000,150.69000000,215.90423000
2019-01-03 00:55:00,150.65000000,150.73000000,150.57000000,150.61000000,197.36702000
2019-01-03 00:56:00,150.59000000,150.62000000,150.33000000,150.33000000,434.68971000
2019-01-03 00:57:00,150.34000000,150.37000000,149.78000000,150.05000000,2181.83722000
2019-01-03 00:58:00,150.00000000,150.06000000,149.71000000,149.73000000,603.36032000
2019-01-03 00:59:00,149.72000000,149.73000000,148.67000000,149.40000000,2692.84051000
2019-01-03 01:00:00,149.40000000,149.91000000,149.40000000,149.80000000,1106.88091000
2019-01-03 01:01:00,149.80000000,149.89000000,149.70000000,149.82000000,261.92668000
2019-01-03 01:02:00,149.82000000,150.09000000,149.80000000,150.03000000,650.36724000
2019-01-03 01:03:00,150.03000000,150.21000000,150.00000000,150.18000000,235.53748000
2019-01-03 01:04:00,150.18000000,150.19000000,150.09000000,150.10000000,284.64018000
2019-01-03 01:05:00,150.10000000,150.12000000,149.91000000,150.03000000,196.02929000
2019-01-03 01:06:00,150.04000000,150.10000000,149.90000000,150.06000000,224.89173000
2019-01-03 01:07:00,150.06000000,150.10000000,149.93000000,150.10000000,423.44164000
2019-01-03 01:08:00,150.10000000,150.47000000,150.05000000,150.38000000,336.58578000
2019-01-03 01:09:00,150.31000000,150.71000000,150.29000000,150.52000000,779.05550000
2019-01-03 01:10:00,150.55000000,150.56000000,150.50000000,150.51000000,318.92342000
2019-01-03 01:11:00,150.51000000,150.52000000,150.00000000,150.05000000,868.74357000
2019-01-03 01:12:00,150.00000000,150.30000000,149.92000000,150.07000000,281.10656000
2019-01-03 01:13:00,150.06000000,150.32000000,150.03000000,150.22000000,225.15558000
2019-01-03 01:14:00,150.24000000,150.31000000,150.22000000,150.26000000,235.22994000
2019-01-03 01:15:00,150.26000000,150.33000000,150.01000000,150.21000000,408.88182000
2019-01-03 01:16:00,150.21000000,150.28000000,149.60000000,149.67000000,571.57301000
2019-01-03 01:17:00,149.61000000,150.22000000,149.26000000,150.11000000,660.51998000
2019-01-03 01:18:00,150.13000000,150.18000000,149.98000000,149.99000000,471.64630000
2019-01-03 01:19:00,150.00000000,150.45000000,149.95000000,150.23000000,531.73898000
2019-01-03 01:20:00,150.23000000,150.36000000,150.05000000,150.27000000,353.60763000
2019-01-03 01:21:00,150.25000000,150.27000000,149.86000000,150.00000000,544.58588000
2019-01-03 01:22:00,150.00000000,150.04000000,149.78000000,149.99000000,339.62625000
2019-01-03 01:23:00,149.98000000,150.01000000,149.68000000,149.78000000,253.90843000
2019-01-03 01:24:00,149.78000000,149.97000000,149.70000000,149.88000000,145.79267000
2019-01-03 01:25:00,149.90000000,149.94000000,149.75000000,149.86000000,130.88584000
2019-01-03 01:26:00,149.83000000,150.00000000,149.74000000,150.00000000,199.04832000
2019-01-03 01:27:00,150.01000000,150.03000000,149.88000000,149.90000000,288.49900000
2019-01-03 01:28:00,149.89000000,149.95000000,149.76000000,149.86000000,212.61433000
2019-01-03 01:29:00,149.87000000,149.92000000,149.62000000,149.80000000,198.39866000
2019-01-03 01:30:00,149.80000000,149.85000000,149.67000000,149.81000000,205.43230000
2019-01-03 01:31:00,149.80000000,149.87000000,149.69000000,149.81000000,426.00775000
2019-01-03 01:32:00,149.81000000,149.84000000,149.72000000,149.80000000,264.12638000
2019-01-03 01:33:00,149.80000000,149.80000000,149.55000000,149.61000000,292.08742000
2019-01-03 01:34:00,149.61000000,149.67000000,149.57000000,149.62000000,478.27497000
2019-01-03 01:35:00,149.64000000,149.78000000,149.60000000,149.77000000,230.71839000
2019-01-03 01:36:00,149.76000000,149.98000000,149.74000000,149.98000000,227.04427000
2019-01-03 01:37:00,149.98000000,150.36000000,149.91000000,150.22000000,857.69618000
2019-01-03 01:38:00,150.22000000,150.43000000,150.14000000,150.37000000,1186.92763000
2019-01-03 01:39:00,150.41000000,150.50000000,150.26000000,150.48000000,463.94036000
2019-01-03 01:40:00,150.48000000,150.71000000,150.44000000,150.70000000,119.75775000
2019-01-03 01:41:00,150.67000000,150.87000000,150.63000000,150.83000000,361.05706000
2019-01-03 01:42:00,150.84000000,151.30000000,150.78000000,151.03000000,662.93965000
2019-01-03 01:43:00,151.03000000,151.04000000,150.81000000,150.82000000,590.89376000
2019-01-03 01:44:00,150.81000000,150.87000000,150.71000000,150.79000000,237.46104000
2019-01-03 01:45:00,150.78000000,150.86000000,150.68000000,150.68000000,260.55734000
2019-01-03 01:46:00,150.64000000,150.74000000,150.63000000,150.67000000,235.02774000
2019-01-03 01:47:00,150.68000000,150.71000000,150.56000000,150.69000000,263.76917000
2019-01-03 01:48:00,150.69000000,150.92000000,150.60000000,150.92000000,304.79566000
