Opened,Open,High,Low,Close,Volume
2019-08-25 23:00:00,186.17000000,186.28000000,186.17000000,186.17000000,55.27003000
2019-08-25 23:01:00,186.16000000,186.31000000,186.13000000,186.22000000,35.81980000
2019-08-25 23:02:00,186.22000000,186.26000000,186.08000000,186.14000000,35.12975000
2019-08-25 23:03:00,186.09000000,186.19000000,186.08000000,186.13000000,49.47629000
2019-08-25 23:04:00,186.11000000,186.25000000,186.11000000,186.11000000,40.61053000
2019-08-25 23:05:00,186.18000000,186.24000000,186.11000000,186.11000000,21.32732000
2019-08-25 23:06:00,186.19000000,186.47000000,186.11000000,186.47000000,65.50039000
2019-08-25 23:07:00,186.38000000,186.43000000,186.26000000,186.37000000,37.66725000
2019-08-25 23:08:00,186.39000000,186.50000000,186.14000000,186.14000000,103.28248000
2019-08-25 23:09:00,186.27000000,186.31000000,186.11000000,186.11000000,60.32348000
2019-08-25 23:10:00,186.10000000,186.22000000,185.99000000,185.99000000,61.40756000
2019-08-25 23:11:00,186.01000000,186.11000000,185.99000000,186.02000000,14.30369000
2019-08-25 23:12:00,186.02000000,186.20000000,186.02000000,186.15000000,21.16807000
2019-08-25 23:13:00,186.18000000,186.18000000,186.03000000,186.03000000,20.64515000
2019-08-25 23:14:00,186.03000000,186.07000000,185.95000000,185.99000000,63.32543000
2019-08-25 23:15:00,186.07000000,186.10000000,186.00000000,186.00000000,19.27946000
2019-08-25 23:16:00,186.00000000,186.09000000,185.96000000,185.96000000,230.47039000
2019-08-25 23:17:00,185.96000000,185.97000000,185.96000000,185.96000000,7.98149000
2019-08-25 23:18:00,185.96000000,186.10000000,185.96000000,186.02000000,6.37372000
2019-08-25 23:19:00,186.09000000,186.26000000,186.05000000,186.18000000,133.81635000
2019-08-25 23:20:00,186.21000000,186.32000000,186.11000000,186.11000000,15.62632000
2019-08-25 23:21:00,186.14000000,186.25000000,186.11000000,186.15000000,53.84127000
2019-08-25 23:22:00,186.21000000,186.34000000,186.14000000,186.22000000,23.87260000
2019-08-25 23:23:00,186.22000000,186.28000000,186.12000000,186.24000000,82.95055000
2019-08-25 23:24:00,186.17000000,186.38000000,186.17000000,186.31000000,13.84390000
2019-08-25 23:25:00,186.32000000,186.38000000,186.24000000,186.37000000,33.91080000
2019-08-25 23:26:00,186.37000000,186.50000000,186.29000000,186.48000000,31.12962000
2019-08-25 23:27:00,186.39000000,186.60000000,186.39000000,186.59000000,41.90783000
2019-08-25 23:28:00,186.57000000,186.59000000,186.40000000,186.44000000,175.74313000
2019-08-25 23:29:00,186.55000000,186.59000000,186.39000000,186.41000000,218.99475000
2019-08-25 23:30:00,186.49000000,186.58000000,186.42000000,186.56000000,126.53591000
2019-08-25 23:31:00,186.55000000,186.59000000,186.42000000,186.51000000,12.06249000
2019-08-25 23:32:00,186.55000000,186.56000000,186.42000000,186.46000000,11.99315000
2019-08-25 23:33:00,186.44000000,186.52000000,186.17000000,186.26000000,742.92863000
2019-08-25 23:34:00,186.18000000,186.25000000,186.11000000,186.14000000,141.06828000
2019-08-25 23:35:00,186.14000000,186.29000000,186.10000000,186.25000000,33.29038000
2019-08-25 23:36:00,186.17000000,186.36000000,186.17000000,186.18000000,22.10286000
2019-08-25 23:37:00,186.17000000,186.40000000,186.14000000,186.35000000,34.40783000
2019-08-25 23:38:00,186.32000000,186.34000000,186.20000000,186.26000000,6.93528000
2019-08-25 23:39:00,186.21000000,186.40000000,186.21000000,186.34000000,55.30832000
2019-08-25 23:40:00,186.43000000,186.43000000,186.20000000,186.25000000,45.98972000
2019-08-25 23:41:00,186.25000000,186.31000000,186.15000000,186.30000000,14.33971000
2019-08-25 23:42:00,186.30000000,186.33000000,186.21000000,186.26000000,30.15998000
2019-08-25 23:43:00,186.23000000,186.36000000,186.22000000,186.30000000,20.84347000
2019-08-25 23:44:00,186.32000000,186.62000000,186.32000000,186.53000000,61.71569000
2019-08-25 23:45:00,186.53000000,186.64000000,186.41000000,186.51000000,102.43908000
2019-08-25 23:46:00,186.49000000,186.56000000,186.34000000,186.34000000,27.56793000
2019-08-25 23:47:00,186.38000000,186.44000000,186.32000000,186.32000000,18.13373000
2019-08-25 23:48:00,186.34000000,186.43000000,186.31000000,186.43000000,14.16767000
2019-08-25 23:49:00,186.39000000,186.43000000,186.37000000,186.41000000,21.91859000
2019-08-25 23:50:00,186.38000000,186.42000000,186.30000000,186.31000000,30.30560000
2019-08-25 23:51:00,186.33000000,186.39000000,186.31000000,186.33000000,51.30780000
2019-08-25 23:52:00,186.33000000,186.33000000,186.17000000,186.20000000,68.89217000
2019-08-25 23:53:00,186.22000000,186.39000000,186.22000000,186.28000000,14.44857000
2019-08-25 23:54:00,186.28000000,186.34000000,186.21000000,186.24000000,19.56179000
2019-08-25 23:55:00,186.24000000,186.55000000,186.24000000,186.45000000,221.13723000
2019-08-25 23:56:00,186.45000000,186.45000000,186.36000000,186.43000000,53.87810000
2019-08-25 23:57:00,186.39000000,186.85000000,186.36000000,186.84000000,194.02267000
2019-08-25 23:58:00,186.79000000,186.84000000,186.45000000,186.53000000,339.02617000
2019-08-25 23:59:00,186.46000000,186.65000000,186.42000000,186.54000000,91.22612000
2019-08-26 00:00:00,186.54000000,186.86000000,186.54000000,186.78000000,155.54423000
2019-08-26 00:01:00,186.80000000,187.04000000,186.74000000,186.99000000,333.05818000
2019-08-26 00:02:00,187.00000000,187.07000000,186.71000000,186.81000000,200.74899000
2019-08-26 00:03:00,186.71000000,186.99000000,186.71000000,186.81000000,31.07281000
2019-08-26 00:04:00,186.82000000,186.82000000,186.63000000,186.77000000,52.06849000
2019-08-26 00:05:00,186.78000000,187.03000000,186.73000000,187.03000000,75.49683000
2019-08-26 00:06:00,187.02000000,187.48000000,186.85000000,187.48000000,394.96429000
2019-08-26 00:07:00,187.48000000,187.68000000,187.00000000,187.17000000,967.30138000
2019-08-26 00:08:00,187.15000000,187.21000000,186.86000000,187.00000000,58.95819000
2019-08-26 00:09:00,186.89000000,187.20000000,186.89000000,186.99000000,41.44010000
2019-08-26 00:10:00,187.05000000,187.25000000,186.95000000,187.22000000,86.34857000
2019-08-26 00:11:00,187.23000000,187.41000000,187.21000000,187.41000000,42.33241000
2019-08-26 00:12:00,187.39000000,187.61000000,187.36000000,187.45000000,265.89048000
2019-08-26 00:13:00,187.39000000,187.55000000,187.35000000,187.37000000,312.78090000
2019-08-26 00:14:00,187.37000000,187.80000000,187.26000000,187.57000000,998.51078000
2019-08-26 00:15:00,187.63000000,190.74000000,187.57000000,189.88000000,8698.77035000
2019-08-26 00:16:00,189.92000000,190.76000000,189.54000000,190.47000000,4187.32831000
