Opened,Open,High,Low,Close,Volume
2018-04-17 23:00:00,505.03000000,505.17000000,504.45000000,504.81000000,20.97890000
2018-04-17 23:01:00,504.79000000,504.79000000,503.83000000,504.45000000,31.29982000
2018-04-17 23:02:00,504.45000000,504.48000000,503.50000000,503.58000000,56.60878000
2018-04-17 23:03:00,503.58000000,504.41000000,503.11000000,504.33000000,107.22020000
2018-04-17 23:04:00,503.55000000,504.11000000,503.55000000,504.01000000,20.84298000
2018-04-17 23:05:00,503.99000000,504.17000000,503.11000000,503.73000000,64.18828000
2018-04-17 23:06:00,503.72000000,503.72000000,503.00000000,503.02000000,28.93164000
2018-04-17 23:07:00,503.11000000,504.07000000,502.57000000,503.79000000,78.00711000
2018-04-17 23:08:00,503.78000000,503.78000000,502.76000000,503.01000000,35.60786000
2018-04-17 23:09:00,503.36000000,503.36000000,503.00000000,503.36000000,19.49264000
2018-04-17 23:10:00,503.36000000,504.50000000,503.01000000,503.44000000,45.85246000
2018-04-17 23:11:00,503.44000000,504.00000000,502.57000000,503.65000000,22.09720000
2018-04-17 23:12:00,503.36000000,503.65000000,503.36000000,503.65000000,9.25696000
2018-04-17 23:13:00,503.61000000,503.78000000,503.37000000,503.39000000,16.82771000
2018-04-17 23:14:00,503.77000000,503.77000000,503.36000000,503.37000000,45.55707000
2018-04-17 23:15:00,503.01000000,503.39000000,502.50000000,502.90000000,30.54537000
2018-04-17 23:16:00,503.27000000,503.65000000,502.43000000,502.70000000,39.22197000
2018-04-17 23:17:00,502.69000000,503.50000000,502.55000000,502.87000000,58.83852000
2018-04-17 23:18:00,502.56000000,503.45000000,502.40000000,502.61000000,46.51348000
2018-04-17 23:19:00,502.61000000,502.86000000,501.71000000,501.94000000,69.54087000
2018-04-17 23:20:00,502.09000000,502.70000000,501.80000000,502.46000000,48.68611000
2018-04-17 23:21:00,501.99000000,502.52000000,501.62000000,501.70000000,161.85750000
2018-04-17 23:22:00,501.70000000,502.66000000,501.70000000,502.26000000,77.31999000
2018-04-17 23:23:00,502.29000000,502.63000000,502.29000000,502.63000000,6.60392000
2018-04-17 23:24:00,502.63000000,503.30000000,502.41000000,502.69000000,22.94799000
2018-04-17 23:25:00,502.69000000,503.27000000,502.63000000,502.80000000,35.39979000
2018-04-17 23:26:00,502.63000000,502.79000000,501.62000000,501.62000000,64.50257000
2018-04-17 23:27:00,501.62000000,502.24000000,501.62000000,501.67000000,23.24295000
2018-04-17 23:28:00,501.63000000,503.87000000,501.36000000,503.05000000,245.27067000
2018-04-17 23:29:00,503.27000000,504.47000000,502.64000000,503.90000000,39.65382000
2018-04-17 23:30:00,503.90000000,503.96000000,503.38000000,503.44000000,43.64905000
2018-04-17 23:31:00,503.45000000,504.00000000,502.49000000,503.15000000,37.84124000
2018-04-17 23:32:00,503.15000000,503.82000000,502.71000000,502.75000000,11.48535000
2018-04-17 23:33:00,502.75000000,502.92000000,502.75000000,502.80000000,12.98765000
2018-04-17 23:34:00,502.82000000,503.02000000,502.05000000,502.33000000,22.81843000
2018-04-17 23:35:00,502.32000000,502.77000000,501.50000000,501.90000000,27.98149000
2018-04-17 23:36:00,501.80000000,502.66000000,501.70000000,502.50000000,37.25072000
2018-04-17 23:37:00,502.49000000,502.77000000,502.03000000,502.55000000,8.28293000
2018-04-17 23:38:00,502.07000000,502.50000000,501.70000000,501.71000000,30.76632000
2018-04-17 23:39:00,501.70000000,502.29000000,501.70000000,502.27000000,27.06069000
2018-04-17 23:40:00,502.27000000,502.27000000,501.72000000,502.00000000,17.48968000
2018-04-17 23:41:00,502.00000000,502.55000000,501.72000000,502.55000000,73.43342000
2018-04-17 23:42:00,502.22000000,503.00000000,502.22000000,503.00000000,14.47604000
2018-04-17 23:43:00,503.00000000,503.03000000,502.90000000,503.00000000,13.46353000
2018-04-17 23:44:00,503.00000000,503.03000000,502.94000000,502.94000000,2.62250000
2018-04-17 23:45:00,502.94000000,503.03000000,502.37000000,502.42000000,13.60778000
2018-04-17 23:46:00,502.40000000,503.02000000,502.36000000,502.86000000,1.27201000
2018-04-17 23:47:00,502.84000000,503.01000000,502.36000000,502.38000000,7.28342000
2018-04-17 23:48:00,502.93000000,502.93000000,502.36000000,502.87000000,7.42248000
2018-04-17 23:49:00,502.86000000,502.86000000,502.37000000,502.50000000,6.71832000
2018-04-17 23:50:00,502.76000000,502.76000000,502.50000000,502.69000000,12.10198000
2018-04-17 23:51:00,502.69000000,502.85000000,502.50000000,502.50000000,19.72529000
2018-04-17 23:52:00,502.51000000,502.77000000,502.36000000,502.56000000,24.34227000
2018-04-17 23:53:00,502.36000000,502.60000000,502.26000000,502.26000000,8.46023000
2018-04-17 23:54:00,502.26000000,503.24000000,502.26000000,503.00000000,29.17161000
2018-04-17 23:55:00,502.45000000,503.45000000,502.45000000,502.56000000,33.26908000
2018-04-17 23:56:00,503.21000000,503.44000000,502.80000000,503.14000000,9.66026000
2018-04-17 23:57:00,503.14000000,503.43000000,503.14000000,503.15000000,16.68395000
2018-04-17 23:58:00,503.15000000,503.45000000,502.90000000,502.90000000,41.09713000
2018-04-17 23:59:00,503.13000000,503.13000000,502.50000000,502.56000000,22.53210000
2018-04-18 00:00:00,502.56000000,503.00000000,501.12000000,501.30000000,236.91521000
2018-04-18 00:01:00,501.83000000,502.24000000,501.32000000,501.53000000,29.59913000
