Opened,Open,High,Low,Close,Volume
2020-02-28 23:00:00,229.67000000,230.66000000,229.67000000,230.05000000,3582.50883000
2020-02-28 23:01:00,230.10000000,230.57000000,229.89000000,230.10000000,673.38729000
2020-02-28 23:02:00,230.10000000,230.24000000,230.00000000,230.24000000,238.45123000
2020-02-28 23:03:00,230.26000000,230.40000000,229.80000000,229.80000000,491.45930000
2020-02-28 23:04:00,229.80000000,229.93000000,228.82000000,228.83000000,716.61574000
2020-02-28 23:05:00,228.82000000,229.01000000,228.48000000,228.87000000,822.66685000
2020-02-28 23:06:00,228.93000000,229.00000000,228.45000000,228.54000000,385.91886000
2020-02-28 23:07:00,228.42000000,228.58000000,228.00000000,228.58000000,486.27899000
2020-02-28 23:08:00,228.61000000,228.99000000,228.56000000,228.79000000,424.86225000
2020-02-28 23:09:00,228.80000000,228.96000000,228.80000000,228.95000000,154.29548000
2020-02-28 23:10:00,228.88000000,228.94000000,228.53000000,228.58000000,326.69608000
2020-02-28 23:11:00,228.52000000,228.59000000,228.33000000,228.38000000,459.30614000
2020-02-28 23:12:00,228.38000000,228.38000000,228.18000000,228.19000000,77.83073000
2020-02-28 23:13:00,228.18000000,228.20000000,228.00000000,228.19000000,212.29261000
2020-02-28 23:14:00,228.14000000,228.45000000,228.14000000,228.29000000,204.04892000
2020-02-28 23:15:00,228.27000000,228.29000000,227.42000000,227.53000000,1241.97423000
2020-02-28 23:16:00,227.57000000,228.17000000,227.44000000,228.07000000,772.72674000
2020-02-28 23:17:00,228.03000000,228.29000000,228.03000000,228.28000000,188.21817000
2020-02-28 23:18:00,228.24000000,228.24000000,227.91000000,228.09000000,86.33141000
2020-02-28 23:19:00,228.10000000,228.12000000,227.67000000,227.74000000,149.44096000
2020-02-28 23:20:00,227.68000000,228.30000000,227.65000000,228.27000000,284.65007000
2020-02-28 23:21:00,228.24000000,228.35000000,227.90000000,227.97000000,61.51871000
2020-02-28 23:22:00,227.92000000,228.09000000,227.80000000,227.88000000,102.25762000
2020-02-28 23:23:00,227.90000000,228.00000000,227.84000000,228.00000000,143.82554000
2020-02-28 23:24:00,228.00000000,228.78000000,227.98000000,228.74000000,174.48182000
2020-02-28 23:25:00,228.72000000,228.79000000,228.54000000,228.66000000,197.54698000
2020-02-28 23:26:00,228.66000000,228.99000000,228.66000000,228.99000000,180.87142000
2020-02-28 23:27:00,228.99000000,229.02000000,228.77000000,228.89000000,340.85263000
2020-02-28 23:28:00,228.93000000,229.04000000,228.84000000,228.99000000,180.59370000
2020-02-28 23:29:00,228.94000000,229.17000000,228.92000000,229.15000000,113.59610000
2020-02-28 23:30:00,229.18000000,229.61000000,229.16000000,229.49000000,450.59666000
2020-02-28 23:31:00,229.49000000,229.50000000,229.33000000,229.40000000,148.08360000
2020-02-28 23:32:00,229.41000000,229.47000000,229.30000000,229.47000000,142.61970000
2020-02-28 23:33:00,229.47000000,230.25000000,229.47000000,230.17000000,1579.61719000
2020-02-28 23:34:00,230.15000000,230.25000000,229.76000000,229.87000000,273.68118000
2020-02-28 23:35:00,229.88000000,229.91000000,229.55000000,229.65000000,470.09351000
2020-02-28 23:36:00,229.65000000,229.65000000,229.23000000,229.30000000,124.10656000
2020-02-28 23:37:00,229.34000000,229.53000000,229.33000000,229.53000000,95.60146000
2020-02-28 23:38:00,229.48000000,229.50000000,229.36000000,229.36000000,47.53108000
2020-02-28 23:39:00,229.34000000,229.54000000,229.34000000,229.52000000,40.27122000
2020-02-28 23:40:00,229.53000000,229.98000000,229.53000000,229.88000000,215.55135000
2020-02-28 23:41:00,229.88000000,230.18000000,229.65000000,229.70000000,169.67771000
2020-02-28 23:42:00,229.69000000,229.69000000,229.20000000,229.27000000,115.49384000
2020-02-28 23:43:00,229.18000000,229.24000000,228.81000000,228.81000000,433.84887000
2020-02-28 23:44:00,228.80000000,229.22000000,228.57000000,229.14000000,506.44294000
2020-02-28 23:45:00,229.16000000,229.16000000,228.55000000,228.57000000,189.40183000
2020-02-28 23:46:00,228.57000000,228.61000000,228.23000000,228.57000000,343.38327000
2020-02-28 23:47:00,228.58000000,228.58000000,227.92000000,228.32000000,353.03655000
2020-02-28 23:48:00,228.26000000,228.52000000,227.90000000,228.45000000,318.13378000
2020-02-28 23:49:00,228.45000000,228.46000000,227.99000000,228.14000000,78.06982000
2020-02-28 23:50:00,228.08000000,228.26000000,227.64000000,228.15000000,889.93036000
2020-02-28 23:51:00,228.15000000,228.15000000,227.70000000,227.75000000,165.87888000
2020-02-28 23:52:00,227.72000000,228.27000000,227.66000000,227.90000000,230.89729000
2020-02-28 23:53:00,227.89000000,227.89000000,227.53000000,227.56000000,351.52182000
2020-02-28 23:54:00,227.54000000,227.76000000,227.38000000,227.44000000,215.69051000
2020-02-28 23:55:00,227.44000000,227.48000000,226.57000000,227.08000000,1386.82547000
2020-02-28 23:56:00,226.97000000,227.02000000,226.30000000,226.43000000,610.05287000
2020-02-28 23:57:00,226.40000000,227.00000000,226.23000000,226.62000000,979.90749000
2020-02-28 23:58:00,226.62000000,227.16000000,226.62000000,227.12000000,367.59778000
2020-02-28 23:59:00,227.15000000,227.32000000,226.76000000,226.76000000,491.67389000
2020-02-29 00:00:00,226.76000000,227.49000000,226.75000000,227.35000000,1221.26074000
2020-02-29 00:01:00,227.33000000,227.99000000,227.32000000,227.95000000,716.41147000
2020-02-29 00:02:00,227.99000000,228.25000000,227.80000000,228.21000000,686.87213000
2020-02-29 00:03:00,228.21000000,228.91000000,228.17000000,228.71000000,825.74036000
2020-02-29 00:04:00,228.73000000,229.05000000,228.39000000,228.39000000,313.27253000
2020-02-29 00:05:00,228.39000000,228.76000000,228.08000000,228.67000000,646.19199000
2020-02-29 00:06:00,228.67000000,228.67000000,228.30000000,228.51000000,291.79644000
2020-02-29 00:07:00,228.53000000,228.60000000,228.43000000,228.49000000,271.15404000
2020-02-29 00:08:00,228.49000000,228.53000000,228.30000000,228.37000000,450.86406000
2020-02-29 00:09:00,228.36000000,229.17000000,228.30000000,228.83000000,677.26360000
2020-02-29 00:10:00,228.84000000,229.00000000,228.40000000,228.97000000,582.84159000
2020-02-29 00:11:00,228.97000000,229.38000000,228.69000000,229.16000000,655.14944000
2020-02-29 00:12:00,229.06000000,229.10000000,228.55000000,229.10000000,320.05760000
2020-02-29 00:13:00,229.09000000,229.45000000,228.80000000,228.86000000,629.50277000
2020-02-29 00:14:00,228.86000000,229.35000000,228.80000000,229.23000000,889.98129000
2020-02-29 00:15:00,229.24000000,229.61000000,229.24000000,229.61000000,519.21921000
2020-02-29 00:16:00,229.59000000,229.85000000,229.06000000,229.06000000,1144.63317000
2020-02-29 00:17:00,229.06000000,229.39000000,229.00000000,229.35000000,190.74311000
2020-02-29 00:18:00,229.35000000,229.59000000,229.35000000,229.55000000,175.77884000
